estadio	ciudad	partido_orden	fecha	nombre_eq_1	nombre_eq_2	goles_eq_1	goles_eq_2
Waldstadion	Frankfurt	(3)	13 June	Brazil	Yugoslavia	0	0
Westfalenstadion	Dortmund	(4)	14 June	Zaire	Scotland	0	2
Parkstadion	Gelsenkirchen	(11)	18 June	Yugoslavia	Zaire	9	0
Waldstadion	Frankfurt	(12)	18 June	Scotland	Brazil	0	0
Waldstadion	Frankfurt	(19)	22 June	Scotland	Yugoslavia	1	1
Parkstadion	Gelsenkirchen	(20)	22 June	Zaire	Brazil	0	3
Niedersachsenstadion	Hanover	(5)	15 June	Uruguay	Netherlands	0	2
Rheinstadion	Düsseldorf	(6)	15 June	Sweden	Bulgaria	0	0
Westfalenstadion	Dortmund	(13)	19 June	Netherlands	Sweden	0	0
Niedersachsenstadion	Hanover	(14)	19 June	Uruguay	Bulgaria	1	1
Westfalenstadion	Dortmund	(21)	23 June	Netherlands	Bulgaria	4	1
Rheinstadion	Düsseldorf	(22)	23 June	Sweden	Uruguay	3	0
Olympiastadion	Munich	(7)	15 June	Italy	Haiti	3	1
Neckarstadion	Stuttgart	(8)	15 June	Poland	Argentina	3	2
Olympiastadion	Munich	(15)	19 June	Haiti	Poland	0	7
Neckarstadion	Stuttgart	(16)	19 June	Argentina	Italy	1	1
Olympiastadion	Munich	(23)	23 June	Argentina	Haiti	4	1
Neckarstadion	Stuttgart	(24)	23 June	Poland	Italy	2	1
Niedersachsenstadion	Hanover	(25)	26 June	Brazil	East Germany	1	0
Parkstadion	Gelsenkirchen	(26)	26 June	Netherlands	Argentina	4	0
Parkstadion	Gelsenkirchen	(29)	30 June	East Germany	Netherlands	0	2
Niedersachsenstadion	Hanover	(30)	30 June	Argentina	Brazil	1	2
Parkstadion	Gelsenkirchen	(33)	3 July	Argentina	East Germany	1	1
Westfalenstadion	Dortmund	(34)	3 July	Netherlands	Brazil	2	0
Rheinstadion	Düsseldorf	(27)	26 June	Yugoslavia	West Germany	0	2
Neckarstadion	Stuttgart	(28)	26 June	Sweden	Poland	0	1
