(4)  15 June   Peru      0-0    Cameroon   @ Estadio de Riazor, A Coruña
(13) 18 June   Italy     1-1    Peru         @ Balaídos, Vigo
(16) 19 June   Poland    0-0    Cameroon   @ Estadio de Riazor, A Coruña
(25) 22 June   Poland    5-1    Peru     @ Estadio de Riazor, A Coruña
(28) 23 June   Italy     1-1    Cameroon   @ Balaídos, Vigo
(7)  16 June   West Germany    1-2    Algeria  @ El Molinón, Gijón
(10) 17 June   Chile           0-1    Austria  @ Estadio Carlos Tartiere, Oviedo
(19) 20 June   West Germany    4-1    Chile   @ El Molinón, Gijón
(22) 21 June   Algeria         0-2    Austria   @ Estadio Carlos Tartiere, Oviedo
(31) 24 June   Algeria         3-2    Chile   @ Estadio Carlos Tartiere, Oviedo
(34) 25 June   West Germany    1-0    Austria  @ El Molinón, Gijón
(1)  13 June   Argentina    0-1    Belgium    @ Camp Nou, Barcelona
(5)  15 June   Hungary     10-1    El Salvador  @ Nuevo Estadio, Elche
(14) 18 June   Argentina    4-1    Hungary    @ Estadio José Rico Pérez, Alicante
(17) 19 June   Belgium      1-0    El Salvador  @ Nuevo Estadio, Elche
(26) 22 June   Belgium      1-1    Hungary        @ Nuevo Estadio, Elche
(29) 23 June   Argentina    2-0    El Salvador  @ Estadio José Rico Pérez, Alicante
(8)  16 June   England         3-1    France   @ Estadio San Mamés, Bilbao
(11) 17 June   Czechoslovakia  1-1    Kuwait  @ Estadio José Zorrilla, Valladolid
(20) 20 June   England         2-0    Czechoslovakia   @ Estadio San Mamés, Bilbao
(23) 21 June   France          4-1    Kuwait           @ Estadio José Zorrilla, Valladolid
(32) 24 June   France          1-1    Czechoslovakia   @ Estadio José Zorrilla, Valladolid
(35) 25 June   England         1-0    Kuwait           @ Estadio San Mamés, Bilbao
(9)  16 June   Spain           1-1    Honduras     @ Estadio Luis Casanova, Valencia
(12) 17 June   Yugoslavia      0-0    Northern Ireland  @ La Romareda, Zaragoza
(21) 20 June   Spain           2-1    Yugoslavia   @ Estadio Luis Casanova, Valencia
(24) 21 June   Honduras        1-1    Northern Ireland  @ La Romareda, Zaragoza
(33) 24 June   Honduras        0-1    Yugoslavia    @ La Romareda, Zaragoza
(36) 25 June   Spain           0-1    Northern Ireland  @ Estadio Luis Casanova, Valencia
