year	host	stadium	city	match_order	date	team_1	team_2	team_1_score	team_2_score
1962	Chile	Estadio Carlos Dittborn	Arica	(25)	1962-06-10	Chile	Soviet Union	2	1
1962	Chile	Estadio Nacional	Santiago	(26)	1962-06-10	Yugoslavia	West Germany	1	0
1962	Chile	Estadio Sausalito	Viña del Mar	(27)	1962-06-10	Brazil	England	3	1
1962	Chile	Estadio El Teniente	Rancagua	(28)	1962-06-10	Czechoslovakia	Hungary	1	0
1962	Chile	Estadio Nacional	Santiago	(29)	1962-06-13	Brazil	Chile	4	2
1962	Chile	Estadio Sausalito	Viña del Mar	(30)	1962-06-13	Czechoslovakia	Yugoslavia	3	1
1962	Chile	Estadio Nacional	Santiago	(31)	1962-06-16	Chile	Yugoslavia	1	0
1962	Chile	Estadio Nacional	Santiago	(32)	1962-06-17	Brazil	Czechoslovakia	3	1
1966	England	Wembley Stadium	London	(1)	1966-07-11	England	Uruguay	0	0
1966	England	Wembley Stadium	London	(5)	1966-07-13	France	Mexico	1	1
1966	England	White City Stadium	London	(9)	1966-07-15	Uruguay	France	2	1
1966	England	Wembley Stadium	London	(13)	1966-07-16	England	Mexico	2	0
1966	England	Wembley Stadium	London	(17)	1966-07-19	Mexico	Uruguay	0	0
1966	England	Wembley Stadium	London	(21)	1966-07-20	England	France	2	0
1966	England	Hillsborough Stadium	Sheffield	(2)	1966-07-12	West Germany	Switzerland	5	0
1966	England	Villa Park	Birmingham	(6)	1966-07-13	Argentina	Spain	2	1
1966	England	Hillsborough Stadium	Sheffield	(10)	1966-07-15	Spain	Switzerland	2	1
1966	England	Villa Park	Birmingham	(14)	1966-07-16	Argentina	West Germany	0	0
1966	England	Hillsborough Stadium	Sheffield	(18)	1966-07-19	Argentina	Switzerland	2	0
1966	England	Villa Park	Birmingham	(22)	1966-07-20	West Germany	Spain	2	1
1966	England	Goodison Park	Liverpool	(3)	1966-07-12	Brazil	Bulgaria	2	0
1966	England	Old Trafford	Manchester	(7)	1966-07-13	Portugal	Hungary	3	1
1966	England	Goodison Park	Liverpool	(11)	1966-07-15	Hungary	Brazil	3	1
1966	England	Old Trafford	Manchester	(15)	1966-07-16	Portugal	Bulgaria	3	0
1966	England	Goodison Park	Liverpool	(19)	1966-07-19	Portugal	Brazil	3	1
1966	England	Old Trafford	Manchester	(23)	1966-07-20	Hungary	Bulgaria	3	1
1966	England	Ayresome Park	Middlesbrough	(4)	1966-07-12	Soviet Union	North Korea	3	0
1966	England	Roker Park	Sunderland	(8)	1966-07-13	Italy	Chile	2	0
1966	England	Ayresome Park	Middlesbrough	(12)	1966-07-15	Chile	North Korea	1	1
1966	England	Roker Park	Sunderland	(16)	1966-07-16	Soviet Union	Italy	1	0
1966	England	Ayresome Park	Middlesbrough	(20)	1966-07-19	North Korea	Italy	1	0
1966	England	Roker Park	Sunderland	(24)	1966-07-20	Soviet Union	Chile	2	1
1966	England	Wembley Stadium	London	(25)	1966-07-23	England	Argentina	1	0
1966	England	Hillsborough Stadium	Sheffield	(26)	1966-07-23	West Germany	Uruguay	4	0
1966	England	Roker Park	Sunderland	(27)	1966-07-23	Soviet Union	Hungary	2	1
1966	England	Goodison Park	Liverpool	(28)	1966-07-23	Portugal	North Korea	5	3
1966	England	Goodison Park	Liverpool	(29)	1966-07-25	West Germany	Soviet Union	2	1
1966	England	Wembley Stadium	London	(30)	1966-07-26	England	Portugal	2	1
1966	England	Wembley Stadium	London	(31)	1966-07-28	Portugal	Soviet Union	2	1
1966	England	Wembley Stadium	London	(32)	1966-07-30	England	West Germany	4	2
1970	Mexico	Estadio Azteca	Mexico City	(1)	1970-05-31	Mexico	Soviet Union	0	0
1970	Mexico	Estadio Azteca	Mexico City	(5)	1970-06-03	Belgium	El Salvador	3	0
1970	Mexico	Estadio Azteca	Mexico City	(9)	1970-06-06	Soviet Union	Belgium	4	1
1970	Mexico	Estadio Azteca	Mexico City	(13)	1970-06-07	Mexico	El Salvador	4	0
1970	Mexico	Estadio Azteca	Mexico City	(17)	1970-06-10	Soviet Union	El Salvador	2	0
1970	Mexico	Estadio Azteca	Mexico City	(21)	1970-06-11	Mexico	Belgium	1	0
1970	Mexico	Estadio Cuauhtémoc	Puebla	(2)	1970-06-02	Uruguay	Israel	2	0
1970	Mexico	Estadio Luis Dosal	Toluca	(6)	1970-06-03	Italy	Sweden	1	0
1970	Mexico	Estadio Cuauhtémoc	Puebla	(10)	1970-06-06	Uruguay	Italy	0	0
1970	Mexico	Estadio Luis Dosal	Toluca	(14)	1970-06-07	Sweden	Israel	1	1
1970	Mexico	Estadio Cuauhtémoc	Puebla	(18)	1970-06-10	Uruguay	Sweden	0	1
1970	Mexico	Estadio Luis Dosal	Toluca	(22)	1970-06-11	Israel	Italy	0	0
1970	Mexico	Estadio Jalisco	Guadalajara	(3)	1970-06-02	Romania	England	0	1
1970	Mexico	Estadio Jalisco	Guadalajara	(7)	1970-06-03	Czechoslovakia	Brazil	1	4
1970	Mexico	Estadio Jalisco	Guadalajara	(11)	1970-06-06	Romania	Czechoslovakia	2	1
1970	Mexico	Estadio Jalisco	Guadalajara	(15)	1970-06-07	England	Brazil	0	1
1970	Mexico	Estadio Jalisco	Guadalajara	(19)	1970-06-10	Romania	Brazil	2	3
1970	Mexico	Estadio Jalisco	Guadalajara	(23)	1970-06-11	England	Czechoslovakia	1	0
1970	Mexico	Estadio Nou Camp	León	(4)	1970-06-02	Peru	Bulgaria	3	2
1970	Mexico	Estadio Nou Camp	León	(8)	1970-06-03	Morocco	West Germany	1	2
1970	Mexico	Estadio Nou Camp	León	(12)	1970-06-06	Peru	Morocco	3	0
1970	Mexico	Estadio Nou Camp	León	(16)	1970-06-07	Bulgaria	West Germany	2	5
1970	Mexico	Estadio Nou Camp	León	(20)	1970-06-10	Peru	West Germany	1	3
1970	Mexico	Estadio Nou Camp	León	(24)	1970-06-11	Bulgaria	Morocco	1	1
1970	Mexico	Estadio Azteca	Mexico City	(25)	1970-06-14	Soviet Union	Uruguay	0	1
1970	Mexico	Estadio Luis Dosal	Toluca	(26)	1970-06-14	Italy	Mexico	4	1
1970	Mexico	Estadio Jalisco	Guadalajara	(27)	1970-06-14	Brazil	Peru	4	2
1970	Mexico	Estadio Nou Camp	León	(28)	1970-06-14	West Germany	England	3	2
1970	Mexico	Estadio Jalisco	Guadalajara	(29)	1970-06-17	Uruguay	Brazil	1	3
1970	Mexico	Estadio Azteca	Mexico City	(30)	1970-06-17	Italy	West Germany	4	3
1970	Mexico	Estadio Azteca	Mexico City	(31)	1970-06-20	Uruguay	West Germany	0	1
1970	Mexico	Estadio Azteca	Mexico City	(32)	1970-06-21	Brazil	Italy	4	1
1974	West germany	Olympiastadion	West Berlin	(1)	1974-06-14	West Germany	Chile	1	0
1974	West germany	Volksparkstadion	Hamburg	(2)	1974-06-14	East Germany	Australia	2	0
1974	West germany	Olympiastadion	West Berlin	(9)	1974-06-18	Chile	East Germany	1	1
1974	West germany	Volksparkstadion	Hamburg	(10)	1974-06-18	Australia	West Germany	0	3
1974	West germany	Olympiastadion	West Berlin	(17)	1974-06-22	Australia	Chile	0	0
1974	West germany	Volksparkstadion	Hamburg	(18)	1974-06-22	East Germany	West Germany	1	0
1974	West germany	Waldstadion	Frankfurt	(3)	1974-06-13	Brazil	Yugoslavia	0	0
1974	West germany	Westfalenstadion	Dortmund	(4)	1974-06-14	Zaire	Scotland	0	2
1974	West germany	Parkstadion	Gelsenkirchen	(11)	1974-06-18	Yugoslavia	Zaire	9	0
1974	West germany	Waldstadion	Frankfurt	(12)	1974-06-18	Scotland	Brazil	0	0
1974	West germany	Waldstadion	Frankfurt	(19)	1974-06-22	Scotland	Yugoslavia	1	1
1974	West germany	Parkstadion	Gelsenkirchen	(20)	1974-06-22	Zaire	Brazil	0	3
1974	West germany	Niedersachsenstadion	Hanover	(5)	1974-06-15	Uruguay	Netherlands	0	2
1974	West germany	Rheinstadion	Düsseldorf	(6)	1974-06-15	Sweden	Bulgaria	0	0
1974	West germany	Westfalenstadion	Dortmund	(13)	1974-06-19	Netherlands	Sweden	0	0
1974	West germany	Niedersachsenstadion	Hanover	(14)	1974-06-19	Uruguay	Bulgaria	1	1
1974	West germany	Westfalenstadion	Dortmund	(21)	1974-06-23	Netherlands	Bulgaria	4	1
1974	West germany	Rheinstadion	Düsseldorf	(22)	1974-06-23	Sweden	Uruguay	3	0
1974	West germany	Olympiastadion	Munich	(7)	1974-06-15	Italy	Haiti	3	1
1974	West germany	Neckarstadion	Stuttgart	(8)	1974-06-15	Poland	Argentina	3	2
1974	West germany	Olympiastadion	Munich	(15)	1974-06-19	Haiti	Poland	0	7
1974	West germany	Neckarstadion	Stuttgart	(16)	1974-06-19	Argentina	Italy	1	1
1974	West germany	Olympiastadion	Munich	(23)	1974-06-23	Argentina	Haiti	4	1
1974	West germany	Neckarstadion	Stuttgart	(24)	1974-06-23	Poland	Italy	2	1
1974	West germany	Niedersachsenstadion	Hanover	(25)	1974-06-26	Brazil	East Germany	1	0
1974	West germany	Parkstadion	Gelsenkirchen	(26)	1974-06-26	Netherlands	Argentina	4	0
1974	West germany	Parkstadion	Gelsenkirchen	(29)	1974-06-30	East Germany	Netherlands	0	2
1974	West germany	Niedersachsenstadion	Hanover	(30)	1974-06-30	Argentina	Brazil	1	2
1974	West germany	Parkstadion	Gelsenkirchen	(33)	1974-07-03	Argentina	East Germany	1	1
1974	West germany	Westfalenstadion	Dortmund	(34)	1974-07-03	Netherlands	Brazil	2	0
1974	West germany	Rheinstadion	Düsseldorf	(27)	1974-06-26	Yugoslavia	West Germany	0	2
1974	West germany	Neckarstadion	Stuttgart	(28)	1974-06-26	Sweden	Poland	0	1
1974	West germany	Rheinstadion	Düsseldorf	(31)	1974-06-30	West Germany	Sweden	4	2
1974	West germany	Waldstadion	Frankfurt	(32)	1974-06-30	Poland	Yugoslavia	2	1
1974	West germany	Waldstadion	Frankfurt	(35)	1974-07-03	Poland	West Germany	0	1
1974	West germany	Rheinstadion	Düsseldorf	(36)	1974-07-03	Sweden	Yugoslavia	2	1
1974	West germany	Olympiastadion	Munich	(37)	1974-07-06	Brazil	Poland	0	1
1974	West germany	Olympiastadion	Munich	(38)	1974-07-07	Netherlands	West Germany	1	2
1978	Argentina	Estadio Monumental	Buenos Aires	(2)	1978-06-02	Argentina	Hungary	2	1
1978	Argentina	Estadio José María Minella	Mar del Plata	(3)	1978-06-02	Italy	France	2	1
1978	Argentina	Estadio Monumental	Buenos Aires	(9)	1978-06-06	Argentina	France	2	1
1978	Argentina	Estadio José María Minella	Mar del Plata	(10)	1978-06-06	Italy	Hungary	3	1
1978	Argentina	Estadio Monumental	Buenos Aires	(17)	1978-06-10	Argentina	Italy	0	1
1978	Argentina	Estadio José María Minella	Mar del Plata	(18)	1978-06-10	France	Hungary	3	1
1978	Argentina	Estadio Monumental	Buenos Aires	(1)	1978-06-01	West Germany	Poland	0	0
1978	Argentina	Estadio Gigante de Arroyito	Rosario	(4)	1978-06-02	Tunisia	Mexico	3	1
1978	Argentina	Estadio Gigante de Arroyito	Rosario	(11)	1978-06-06	Poland	Tunisia	1	0
1978	Argentina	Estadio Chateau Carreras	Córdoba	(12)	1978-06-06	West Germany	Mexico	6	0
1978	Argentina	Estadio Gigante de Arroyito	Rosario	(19)	1978-06-10	Poland	Mexico	3	1
1978	Argentina	Estadio Olímpico Chateau Carreras	Córdoba	(20)	1978-06-10	West Germany	Tunisia	0	0
1978	Argentina	Estadio José Amalfitani	Buenos Aires	(5)	1978-06-03	Austria	Spain	2	1
