year	host	stadium	city	match_order	date	team_1	team_2	team_1_score	team_2_score
2006	Germany	Frankenstadion	Nürnberg	(52)	2006-06-25	Portugal	Netherlands	1	0
2006	Germany	Fritz-Walter-Stadion	Kaiserslautern	(53)	2006-06-26	Italy	Australia	1	0
2006	Germany	RheinEnergieStadion	Köln	(54)	2006-06-26	Switzerland	Ukraine	0	3
2006	Germany	Signal Iduna Park	Dortmund	(55)	2006-06-27	Brazil	Ghana	3	0
2006	Germany	AWD-Arena	Hannover	(56)	2006-06-27	Spain	France	1	3
2006	Germany	Olympiastadion	Berlin	(57)	2006-06-30	Germany	Argentina	4	2
2006	Germany	AOL Arena	Hamburg	(58)	2006-06-30	Italy	Ukraine	3	0
2006	Germany	Veltins-Arena	Gelsenkirchen	(59)	2006-07-01	England	Portugal	1	3
2006	Germany	Commerzbank-Arena	Frankfurt	(60)	2006-07-01	Brazil	France	0	1
2006	Germany	Signal Iduna Park	Dortmund	(61)	2006-07-04	Germany	Italy	0	2
2006	Germany	Allianz Arena	München	(62)	2006-07-05	Portugal	France	0	1
2006	Germany	Gottlieb-Daimler-Stadion	Stuttgart	(63)	2006-07-08	Germany	Portugal	3	1
2006	Germany	Olympiastadion	Berlin	(64)	2006-07-09	Italy	France	5	3
2010	South africa	Nelson Mandela Bay Stadium	Port Elizabeth	(49)	2010-06-26	Uruguay	South Korea	2	1
2010	South africa	Royal Bafokeng Stadium	Rustenburg	(50)	2010-06-26	United States	Ghana	1	2
2010	South africa	Free State Stadium	Bloemfontein	(51)	2010-06-27	Germany	England	4	1
2010	South africa	Soccer City	Johannesburg	(52)	2010-06-27	Argentina	Mexico	3	1
2010	South africa	Moses Mabhida Stadium	Durban	(53)	2010-06-28	Netherlands	Slovakia	2	1
2010	South africa	Ellis Park Stadium	Johannesburg	(54)	2010-06-28	Brazil	Chile	3	0
2010	South africa	Loftus Versfeld Stadium	Pretoria	(55)	2010-06-29	Paraguay	Japan	5	3
2010	South africa	Cape Town Stadium	Cape Town	(56)	2010-06-29	Spain	Portugal	1	0
2010	South africa	Nelson Mandela Bay Stadium	Port Elizabeth	(57)	2010-07-02	Netherlands	Brazil	2	1
2010	South africa	Soccer City	Johannesburg	(58)	2010-07-02	Uruguay	Ghana	4	2
2010	South africa	Cape Town Stadium	Cape Town	(59)	2010-07-03	Argentina	Germany	0	4
2010	South africa	Ellis Park Stadium	Johannesburg	(60)	2010-07-03	Paraguay	Spain	0	1
2010	South africa	Cape Town Stadium	Cape Town	(61)	2010-07-06	Uruguay	Netherlands	2	3
2010	South africa	Moses Mabhida Stadium	Durban	(62)	2010-07-07	Germany	Spain	0	1
2010	South africa	Nelson Mandela Bay Stadium	Port Elizabeth	(63)	2010-07-10	Uruguay	Germany	2	3
2010	South africa	Soccer City	Johannesburg	(64)	2010-07-11	Netherlands	Spain	0	1
2014	Brazil	Estádio Mineirão	Belo Horizonte (UTC-3)  # 1A - 2B	(49)	2014-06-28	Brazil	Chile	3	2
2014	Brazil	Estádio do Maracanã	Rio de Janeiro (UTC-3)   # 1C - 2D	(50)	2014-06-28	Colombia	Uruguay	2	0
2014	Brazil	Estádio Castelão	Fortaleza (UTC-3)        # 1B - 2A	(51)	2014-06-29	Netherlands	Mexico	2	1
2014	Brazil	Arena Pernambuco	Recife (UTC-3)     # 1D - 2C	(52)	2014-06-29	Costa Rica	Greece	5	3
2014	Brazil	Estádio Nacional Mané Garrincha	Brasília (UTC-3)     # 1E - 2F	(53)	2014-06-30	France	Nigeria	2	0
2014	Brazil	Estádio Beira-Rio	Porto Alegre (UTC-3)    # 1G - 2H	(54)	2014-06-30	Germany	Algeria	2	1
2014	Brazil	Arena de São Paulo	São Paulo    # 1F - 2E	(55)	2014-07-01	Argentina	Switzerland	1	0
2014	Brazil	Arena Fonte Nova	Salvador     # 1H - 2G	(56)	2014-07-01	Belgium	United States	2	1
2014	Brazil	Estádio Castelão	Fortaleza    # W49 - W50	(57)	2014-07-04	Brazil	Colombia	2	1
2014	Brazil	Estádio do Maracanã	Rio de Janeiro (UTC-3)   # W53 - W54	(58)	2014-07-04	France	Germany	0	1
2014	Brazil	Arena Fonte Nova	Salvador (UTC-3)    # W51 - W52	(59)	2014-07-05	Netherlands	Costa Rica	4	3
2014	Brazil	Estádio Nacional Mané Garrincha	Brasília (UTC-3)    # W55 - W56	(60)	2014-07-05	Argentina	Belgium	1	0
2014	Brazil	Estádio Mineirão	Belo Horizonte (UTC-3)   # W57 - W58	(61)	2014-07-08	Brazil	Germany	1	7
2014	Brazil	Arena de São Paulo	São Paulo (UTC-3)    # W59 - W69	(62)	2014-07-09	Netherlands	Argentina	2	4
2014	Brazil	Estádio Nacional Mané Garrincha	Brasília (UTC-3)   # L61 - L62	(63)	2014-07-12	Brazil	Netherlands	0	3
2014	Brazil	Estádio do Maracanã	Rio de Janeiro (UTC-3)   # W61 - W62	(64)	2014-07-13	Germany	Argentina	1	0
2018	Russia	Fisht Stadium	Sochi (UTC+3)	(49)	2018-06-30	Uruguay	Portugal	2	1
2018	Russia	Kazan Arena	Kazan (UTC+3)	(50)	2018-06-30	France	Argentina	4	3
2018	Russia	Luzhniki Stadium	Moscow (UTC+3)	(51)	2018-07-01	Spain	Russia	3	4
2018	Russia	Nizhny Novgorod Stadium	Nizhny Novgorod (UTC+3)	(52)	2018-07-01	Croatia	Denmark	3	2
2018	Russia	Samara Arena	Samara (UTC+4)	(53)	2018-07-02	Brazil	Mexico	2	0
2018	Russia	Rostov Arena	Rostov-on-Don (UTC+3)	(54)	2018-07-02	Belgium	Japan	3	2
2018	Russia	Saint Petersburg Stadium	Saint Petersburg (UTC+3)	(55)	2018-07-03	Sweden	Switzerland	1	0
2018	Russia	Spartak Stadium	Moscow (UTC+3)	(56)	2018-07-03	Colombia	England	3	4
2018	Russia	Nizhny Novgorod Stadium	Nizhny Novgorod (UTC+3)	(57)	2018-07-06	Uruguay	France	0	2
2018	Russia	Kazan Arena	Kazan (UTC+3)	(58)	2018-07-06	Brazil	Belgium	1	2
2018	Russia	Fisht Stadium	Sochi (UTC+3)	(59)	2018-07-07	Russia	Croatia	3	4
2018	Russia	Samara Arena	Samara (UTC+4)	(60)	2018-07-07	Sweden	England	0	2
2018	Russia	Saint Petersburg Stadium	St. Petersburg (UTC+3)	(61)	2018-07-10	France	Belgium	1	0
2018	Russia	Luzhniki Stadium	Moscow (UTC+3)	(62)	2018-07-11	Croatia	England	2	1
2018	Russia	Saint Petersburg Stadium	St. Petersburg (UTC+3)	(63)	2018-07-14	Belgium	England	2	0
2018	Russia	Luzhniki Stadium	Moscow (UTC+3)	(64)	2018-07-15	France	Croatia	4	2
